u,v,key,osmid,highway,lanes,name,oneway,reversed,length,geometry,ref,junction,bridge,tunnel,maxspeed,access
1489219773,1489194790,0,135617575,secondary,,Oba Akran Avenue,True,False,298.7573555539585,"LINESTRING (537180.3246282774 730352.7080448528, 537183.4541630464 730334.6026160088, 537188.0698563142 730309.268439865, 537198.1877777145 730255.3727254128, 537213.6381608197 730195.1573482477, 537222.3500741546 730160.7942819383, 537227.3932440077 730140.888238823, 537250.4269996793 730064.2618202848)",,,,,,
1489219773,1489219732,0,135619398,unclassified,,Niwil Close,False,True,429.39612413393627,"LINESTRING (537180.3246282774 730352.7080448528, 537030.0063632674 730339.7169748861, 536823.4451891314 730324.8204276509, 536814.8561273988 730324.6599172464, 536775.3818365159 730323.8928682046, 536751.7598362154 730322.4289309112)",,,,,,
1489219736,1489219825,0,135619378,residential,,,False,False,82.27858903920334,"LINESTRING (537945.4177279631 729928.8523195729, 538010.9359052025 729978.4003246465)",,,,,,
1489219736,1489219950,0,135619378,residential,,,False,True,118.6217160448216,"LINESTRING (537945.4177279631 729928.8523195729, 537850.9852056998 729857.3852183813)",,,,,,
1489219736,1489220030,0,135619427,residential,,,False,True,142.54305981760515,"LINESTRING (537945.4177279631 729928.8523195729, 537900.9092491498 729982.2931203197, 537855.0724205632 730038.5188176564)",,,,,,
1489219950,1489219736,0,135619378,residential,,,False,False,118.6217160448216,"LINESTRING (537850.9852056998 729857.3852183813, 537945.4177279631 729928.8523195729)",,,,,,
1489219950,1489220016,0,135619487,residential,,,False,False,24.146869850180234,"LINESTRING (537850.9852056998 729857.3852183813, 537860.1203422379 729835.1605533033)",,,,,,
1489219950,1489219972,0,135619487,residential,,,False,True,155.8200256177932,"LINESTRING (537850.9852056998 729857.3852183813, 537817.0493642587 729936.2922577278, 537791.6465167241 730000.6240594)",,,,,,
1489220030,1489219940,0,282443810,residential,,Ogunlowo Street,False,False,81.44402108910276,"LINESTRING (537855.0724205632 730038.5188176564, 537919.0867536073 730088.6405271365)",,,,,,
1489220030,1489219736,0,135619427,residential,,,False,False,142.54305981760515,"LINESTRING (537855.0724205632 730038.5188176564, 537900.9092491498 729982.2931203197, 537945.4177279631 729928.8523195729)",,,,,,
1489220030,1489219972,0,"[135619440, 282443810]",residential,,"['Ogunlowo Street', 'Obanta Avenue']",False,True,74.73668546560192,"LINESTRING (537855.0724205632 730038.5188176564, 537816.4020708059 730009.628501123, 537802.0245175795 730003.5827794373, 537791.6465167241 730000.6240594)",,,,,,
1489219957,1489219770,0,135619407,residential,,,False,True,15.720391255657907,"LINESTRING (538381.2414254057 731711.4230587229, 538372.9858420278 731724.7271314523)",,,,,,
1489219857,1489219770,0,135619407,residential,,,False,False,70.75474400206821,"LINESTRING (538334.0457979107 731783.4777001415, 538372.9858420278 731724.7271314523)",,,,,,
1489219857,1489220017,0,135619457,residential,,,False,False,153.2043283421355,"LINESTRING (538334.0457979107 731783.4777001415, 538473.1707626553 731847.4931506136)",,,,,,
1489219857,1489219860,0,135619457,residential,,,False,True,89.39844441930066,"LINESTRING (538334.0457979107 731783.4777001415, 538252.858107125 731746.133660988)",,,,,,
1489219782,1489220018,0,135619441,residential,,,False,True,111.97710124206566,"LINESTRING (538783.7623319906 731366.6668251771, 538784.5967809007 731312.0240969296, 538780.9335590869 731255.4657359308)",,,,,,
1489219976,1489219784,0,135619377,residential,,,False,True,73.2435246927289,"LINESTRING (538593.180718804 730513.409617453, 538597.3524517165 730586.1081298175)",,,,,,
1489220005,1489219784,0,135619402,residential,,,False,True,133.37068020426972,"LINESTRING (538728.7705007195 730562.9303614111, 538700.9101655389 730568.1064609513, 538597.3524517165 730586.1081298175)",,,,,,
1489219790,1489219947,0,135619439,residential,,,False,False,103.09794446591928,"LINESTRING (537990.6100686206 731510.5865015602, 538093.7884865735 731510.6579258041)",,,,,,
1489219947,1489219790,0,135619439,residential,,,False,True,103.09794446591928,"LINESTRING (538093.7884865735 731510.6579258041, 537990.6100686206 731510.5865015602)",,,,,,
1489219947,1489219817,0,135619420,residential,,,False,False,70.80540959686219,"LINESTRING (538093.7884865735 731510.6579258041, 538092.4052782943 731448.9607978027, 538092.2123198787 731440.2827403593)",,,,,,
1489219947,1489219874,0,135619439,residential,,,False,False,95.8021644146318,"LINESTRING (538093.7884865735 731510.6579258041, 538101.7797538016 731511.8242071893, 538110.3875785222 731516.5505243973, 538115.113501771 731524.0599299739, 538117.483878545 731533.0600839843, 538116.0831166548 731592.3343098009)",,,,,,
1489219791,5567087665,0,581967262,residential,,,False,False,53.77040685548483,"LINESTRING (537702.609374608 729378.5831478275, 537752.3737248078 729398.9246365051)",,,,,,
1489219791,1489219895,0,135619380,residential,,Seriki Aro Avenue,False,True,118.80290651884337,"LINESTRING (537702.609374608 729378.5831478275, 537682.3429358752 729416.1772667613, 537663.2524355329 729447.7142381258, 537643.2764757395 729480.8977559189)",,,,,,
1489219791,5567087666,0,282446560,residential,,Seriki Aro Link,False,False,71.53615994012489,"LINESTRING (537702.609374608 729378.5831478275, 537713.1696986847 729357.5975588684, 537734.246727231 729314.7862016447)",,,,,,
5567087666,1489219791,0,282446560,residential,,Seriki Aro Link,False,True,71.53615994012489,"LINESTRING (537734.246727231 729314.7862016447, 537713.1696986847 729357.5975588684, 537702.609374608 729378.5831478275)",,,,,,
1489219972,1489220030,0,"[135619440, 282443810]",residential,,"['Ogunlowo Street', 'Obanta Avenue']",False,False,74.73668546560192,"LINESTRING (537791.6465167241 730000.6240594, 537802.0245175795 730003.5827794373, 537816.4020708059 730009.628501123, 537855.0724205632 730038.5188176564)",,,,,,
