osmid,y,x,street_count,highway,geometry
1486325513,734015.9230723546,539966.6429524503,3,,POINT (539966.6429524503 734015.9230723546)
1486325955,733867.2180663871,539985.8410165594,3,,POINT (539985.8410165594 733867.2180663871)
1486325971,734212.2897769328,539984.3510704415,3,,POINT (539984.3510704415 734212.2897769328)
1486325524,734111.6197933891,540052.072271964,3,,POINT (540052.072271964 734111.6197933891)
1486325801,734188.4940386666,540081.9821578976,1,,POINT (540081.9821578976 734188.4940386666)
1486325530,734931.7776770035,540018.6324661155,3,,POINT (540018.6324661155 734931.7776770035)
1486325877,734968.10658068,540007.7735824324,3,,POINT (540007.7735824324 734968.10658068)
13149432032,734927.2801564501,539945.407122879,1,,POINT (539945.407122879 734927.2801564501)
1486325533,734472.263099545,539204.5491511815,1,,POINT (539204.5491511815 734472.263099545)
1486325911,734582.9589836139,539519.0618469876,4,,POINT (539519.0618469876 734582.9589836139)
1486325550,734446.241524278,539051.5878157695,1,,POINT (539051.5878157695 734446.241524278)
1486325552,734335.1990503017,539069.8942386296,3,,POINT (539069.8942386296 734335.1990503017)
11301594414,734264.404877262,539085.5744152587,3,,POINT (539085.5744152587 734264.404877262)
5610607197,734345.7691224462,539165.2009089924,3,,POINT (539165.2009089924 734345.7691224462)
1486325554,734863.4323295397,539708.2369491989,3,,POINT (539708.2369491989 734863.4323295397)
1486325693,734935.5873615658,539694.2904785954,1,,POINT (539694.2904785954 734935.5873615658)
1486325808,734770.9901917444,539719.8216988065,3,,POINT (539719.8216988065 734770.9901917444)
1486325558,733862.8123899954,539901.947460202,3,,POINT (539901.947460202 733862.8123899954)
10696030227,734903.188428812,539330.3594029068,3,,POINT (539330.3594029068 734903.188428812)
5610516779,734871.0376068245,539432.6594759035,3,,POINT (539432.6594759035 734871.0376068245)
1486325563,733902.0923313203,539278.4084313287,3,,POINT (539278.4084313287 733902.0923313203)
5610607188,733857.3026401725,539360.9334711011,3,,POINT (539360.9334711011 733857.3026401725)
1486326009,733931.8779944024,539238.1299639747,3,,POINT (539238.1299639747 733931.8779944024)
5610607184,733925.9121195219,539351.1017562774,1,,POINT (539351.1017562774 733925.9121195219)
1486325564,734926.3475196657,539329.635334823,1,,POINT (539329.635334823 734926.3475196657)
1486325572,734504.9592218869,539013.7431091421,1,,POINT (539013.7431091421 734504.9592218869)
1486325712,735007.5798541524,539654.3798175133,4,,POINT (539654.3798175133 735007.5798541524)
1486325575,734239.2685356742,540067.1553791479,1,,POINT (540067.1553791479 734239.2685356742)
1486325578,735464.2428197869,539230.8080726153,3,,POINT (539230.8080726153 735464.2428197869)
1486325737,735549.0558756975,539217.2622352897,3,,POINT (539217.2622352897 735549.0558756975)
6901706820,735468.9932768889,539410.93967068,3,,POINT (539410.93967068 735468.9932768889)
5480928588,735447.9208265786,539053.6801772359,3,,POINT (539053.6801772359 735447.9208265786)
1486325579,735038.3983653216,539314.7211657205,1,,POINT (539314.7211657205 735038.3983653216)
1486325588,735120.8249218968,539364.5124371239,3,,POINT (539364.5124371239 735120.8249218968)
1486325581,735753.0888052852,539181.1044663889,1,,POINT (539181.1044663889 735753.0888052852)
4537826891,735165.4922950771,539096.0171926088,3,,POINT (539096.0171926088 735165.4922950771)
4537826895,735030.6467364691,539126.5655726492,1,,POINT (539126.5655726492 735030.6467364691)
9395950177,735092.3733145874,539415.0135160284,3,,POINT (539415.0135160284 735092.3733145874)
1486325944,735257.8832494536,539428.7218945541,4,,POINT (539428.7218945541 735257.8832494536)
1486325817,734324.866819985,539811.8232057155,3,,POINT (539811.8232057155 734324.866819985)
1486325992,734394.5426874167,539793.9101007888,3,,POINT (539793.9101007888 734394.5426874167)
1486325592,735596.234194159,539058.4707783855,3,,POINT (539058.4707783855 735596.234194159)
1486325975,735526.9336622033,539075.9291722236,3,,POINT (539075.9291722236 735526.9336622033)
5480700514,735549.0380468637,538991.499754915,1,,POINT (538991.499754915 735549.0380468637)
